TR_ACC,TE_ACC,LR,DECAY,MOMENTUM,NESTEROV,EPOCHS,BATCH_SZ,HIDDEN_DIM,NUM_LAYERS,PARAMS
0.0642,0.0607,0.0,0.0,0.0,False,1,11,1,13,827
0.0851,0.0828,0.0,0.0,0.0,False,1,11,1,23,847
0.0789,0.0786,0.0,0.0,0.0,False,1,11,1,33,867
0.0987,0.098,0.0,0.0,0.0,False,1,11,1,43,887
0.0987,0.098,0.0,0.0,0.0,False,1,11,1,53,907
0.0987,0.098,0.0,0.0,0.0,False,1,11,1,63,927
0.0987,0.098,0.0,0.0,0.0,False,1,11,1,73,947
0.0987,0.098,0.0,0.0,0.0,False,1,11,1,83,967
0.0987,0.098,0.0,0.0,0.0,False,1,11,1,93,987
0.0944,0.0905,0.0,0.0,0.0,False,1,11,11,3,8887
0.095,0.0952,0.0,0.0,0.0,False,1,11,11,13,10207
0.0824,0.0801,0.0,0.0,0.0,False,1,11,11,23,11527
0.091,0.1005,0.0,0.0,0.0,False,1,11,11,33,12847
0.1048,0.1069,0.0,0.0,0.0,False,1,11,11,43,14167
0.0961,0.096,0.0,0.0,0.0,False,1,11,11,53,15487
0.0732,0.069,0.0,0.0,0.0,False,1,11,11,63,16807
0.0897,0.0971,0.0,0.0,0.0,False,1,11,11,73,18127
0.121,0.1187,0.0,0.0,0.0,False,1,11,11,83,19447
0.038,0.0376,0.0,0.0,0.0,False,1,11,11,93,20767
0.0671,0.0618,0.0,0.0,0.0,False,1,11,21,3,17167
0.1376,0.1365,0.0,0.0,0.0,False,1,11,21,13,21787
0.0862,0.0904,0.0,0.0,0.0,False,1,11,21,23,26407
0.1326,0.1333,0.0,0.0,0.0,False,1,11,21,33,31027
0.1322,0.1401,0.0,0.0,0.0,False,1,11,21,43,35647
0.1106,0.1009,0.0,0.0,0.0,False,1,11,21,53,40267
0.0707,0.0754,0.0,0.0,0.0,False,1,11,21,63,44887
0.128,0.1255,0.0,0.0,0.0,False,1,11,21,73,49507
0.0904,0.0939,0.0,0.0,0.0,False,1,11,21,83,54127
0.0946,0.0932,0.0,0.0,0.0,False,1,11,21,93,58747
0.1067,0.1094,0.0,0.0,0.0,False,1,11,31,3,25647
0.1354,0.1405,0.0,0.0,0.0,False,1,11,31,13,35567
0.086,0.0824,0.0,0.0,0.0,False,1,11,31,23,45487
0.0905,0.0922,0.0,0.0,0.0,False,1,11,31,33,55407
0.0753,0.0765,0.0,0.0,0.0,False,1,11,31,43,65327
0.0876,0.0877,0.0,0.0,0.0,False,1,11,31,53,75247
0.1012,0.1042,0.0,0.0,0.0,False,1,11,31,63,85167
0.0962,0.0979,0.0,0.0,0.0,False,1,11,31,73,95087
0.1065,0.1069,0.0,0.0,0.0,False,1,11,31,83,105007
0.1263,0.1275,0.0,0.0,0.0,False,1,11,31,93,114927
